ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9531613,HX185181,03/14/2014 09:30:00 PM,029XX S DEARBORN ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CHA PARKING LOT/GROUNDS,true,false,0133,001,3,35,26,1176405,1885502,2014,03/19/2014 12:41:09 AM,41.841171774352134,-87.62814732735933,"(41.841171774352134, -87.62814732735933)"
9531619,HX185189,03/14/2014 09:30:00 PM,009XX N MOZART ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1211,012,26,24,08B,1157166,1906441,2014,03/18/2014 12:40:56 AM,41.899042287376446,-87.69817920017951,"(41.899042287376446, -87.69817920017951)"
9531692,HX185262,03/14/2014 09:30:00 PM,011XX S LAFLIN ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1231,012,2,28,08B,1166585,1895258,2014,03/18/2014 12:40:56 AM,41.86815871640521,-87.66390400959368,"(41.86815871640521, -87.66390400959368)"
9532065,HX185702,03/14/2014 09:30:00 PM,016XX S KOMENSKY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1012,010,24,29,05,1149698,1891344,2014,03/18/2014 12:40:56 AM,41.857762870086646,-87.72600148459473,"(41.857762870086646, -87.72600148459473)"
9531631,HX185197,03/14/2014 09:30:00 PM,001XX E WACKER DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,0114,001,42,32,08B,1177758,1902583,2014,03/17/2014 12:39:52 AM,41.88801250470644,-87.62266346279894,"(41.88801250470644, -87.62266346279894)"
9531906,HX185550,03/14/2014 09:30:00 PM,001XX W ONTARIO ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1832,018,42,8,06,1175386,1904504,2014,03/17/2014 12:39:52 AM,41.893337409258166,-87.63131642509508,"(41.893337409258166, -87.63131642509508)"
9541257,HX194496,03/14/2014 09:30:00 PM,005XX N FRANKLIN ST,0810,THEFT,OVER $500,STREET,false,false,1831,018,42,8,06,1174199,1903585,2014,03/25/2014 12:39:08 AM,41.89084218909886,-87.63570324597063,"(41.89084218909886, -87.63570324597063)"
9532497,HX186460,03/14/2014 09:30:00 PM,038XX W MADISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1122,011,28,26,14,1150911,1899781,2014,03/22/2014 12:39:11 AM,41.880891330428014,-87.72132821590681,"(41.880891330428014, -87.72132821590681)"
9531665,HX185191,03/14/2014 09:25:00 PM,067XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,true,false,0725,007,17,67,15,1167538,1859930,2014,04/03/2014 12:40:46 AM,41.771194512935146,-87.66141957367464,"(41.771194512935146, -87.66141957367464)"
9531657,HX185198,03/14/2014 09:20:00 PM,024XX S ST LOUIS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1024,010,22,30,18,1153389,1887310,2014,03/19/2014 12:41:09 AM,41.84662065617356,-87.71256024692458,"(41.84662065617356, -87.71256024692458)"
